"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","497","User login with empty credentials","tests","Sat Jan 24 09:24:31 UTC 2026","passed","Sat Jan 24 09:24:32 UTC 2026","TestAuthorization","test_authorization","",""
"","5392","User login with performance_glitch_user credentials","tests","Sat Jan 24 09:24:32 UTC 2026","passed","Sat Jan 24 09:24:37 UTC 2026","TestAuthorization","test_authorization","",""
"","509","User login with wrong credentials","tests","Sat Jan 24 09:24:31 UTC 2026","passed","Sat Jan 24 09:24:32 UTC 2026","TestAuthorization","test_authorization","",""
"","794","User login with correct credentials","tests","Sat Jan 24 09:24:30 UTC 2026","passed","Sat Jan 24 09:24:31 UTC 2026","TestAuthorization","test_authorization","",""
"","788","User login with locked out user credentials","tests","Sat Jan 24 09:24:30 UTC 2026","passed","Sat Jan 24 09:24:31 UTC 2026","TestAuthorization","test_authorization","",""
