"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1145","User login with locked out user credentials","tests","Sat Jan 24 09:02:39 UTC 2026","passed","Sat Jan 24 09:02:41 UTC 2026","TestAuthorization","test_authorization","",""
"","578","User login with empty credentials","tests","Sat Jan 24 09:02:41 UTC 2026","passed","Sat Jan 24 09:02:42 UTC 2026","TestAuthorization","test_authorization","",""
"","5414","User login with performance_glitch_user credentials","tests","Sat Jan 24 09:02:42 UTC 2026","passed","Sat Jan 24 09:02:47 UTC 2026","TestAuthorization","test_authorization","",""
"","1157","User login with correct credentials","tests","Sat Jan 24 09:02:39 UTC 2026","passed","Sat Jan 24 09:02:41 UTC 2026","TestAuthorization","test_authorization","",""
"","621","User login with wrong credentials","tests","Sat Jan 24 09:02:41 UTC 2026","passed","Sat Jan 24 09:02:42 UTC 2026","TestAuthorization","test_authorization","",""
