"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","677","User login with correct credentials","tests","Sat Jan 24 12:25:27 UTC 2026","passed","Sat Jan 24 12:25:27 UTC 2026","TestAuthorization","test_authorization","",""
"","499","User login with wrong credentials","tests","Sat Jan 24 12:25:28 UTC 2026","passed","Sat Jan 24 12:25:28 UTC 2026","TestAuthorization","test_authorization","",""
"","5494","User login with performance_glitch_user credentials","tests","Sat Jan 24 12:25:29 UTC 2026","passed","Sat Jan 24 12:25:34 UTC 2026","TestAuthorization","test_authorization","",""
"","694","User login with locked out user credentials","tests","Sat Jan 24 12:25:27 UTC 2026","passed","Sat Jan 24 12:25:27 UTC 2026","TestAuthorization","test_authorization","",""
"","478","User login with empty credentials","tests","Sat Jan 24 12:25:28 UTC 2026","passed","Sat Jan 24 12:25:28 UTC 2026","TestAuthorization","test_authorization","",""
