"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5663","User login with performance_glitch_user credentials","tests","Sat Jan 24 13:16:09 UTC 2026","passed","Sat Jan 24 13:16:15 UTC 2026","TestAuthorization","test_authorization","",""
"","5486","User login with performance_glitch_user credentials","tests","Sat Jan 24 13:16:09 UTC 2026","passed","Sat Jan 24 13:16:14 UTC 2026","TestAuthorization","test_authorization","",""
"","1137","User login with locked out user credentials","tests","Sat Jan 24 13:16:06 UTC 2026","passed","Sat Jan 24 13:16:07 UTC 2026","TestAuthorization","test_authorization","",""
"","470","User login with empty credentials","tests","Sat Jan 24 13:16:05 UTC 2026","passed","Sat Jan 24 13:16:05 UTC 2026","TestAuthorization","test_authorization","",""
"","532","User login with empty credentials","tests","Sat Jan 24 13:16:08 UTC 2026","passed","Sat Jan 24 13:16:09 UTC 2026","TestAuthorization","test_authorization","",""
"","836","User login with correct credentials","tests","Sat Jan 24 13:15:56 UTC 2026","passed","Sat Jan 24 13:15:57 UTC 2026","TestAuthorization","test_authorization","",""
"","5848","User login with performance_glitch_user credentials","tests","Sat Jan 24 13:16:16 UTC 2026","passed","Sat Jan 24 13:16:22 UTC 2026","TestAuthorization","test_authorization","",""
"","1618","User login with correct credentials","tests","Sat Jan 24 13:16:02 UTC 2026","passed","Sat Jan 24 13:16:03 UTC 2026","TestAuthorization","test_authorization","",""
"","595","User login with wrong credentials","tests","Sat Jan 24 13:16:04 UTC 2026","passed","Sat Jan 24 13:16:05 UTC 2026","TestAuthorization","test_authorization","",""
"","788","User login with wrong credentials","tests","Sat Jan 24 13:16:01 UTC 2026","passed","Sat Jan 24 13:16:02 UTC 2026","TestAuthorization","test_authorization","",""
"","505","User login with locked out user credentials","tests","Sat Jan 24 13:16:02 UTC 2026","passed","Sat Jan 24 13:16:03 UTC 2026","TestAuthorization","test_authorization","",""
"","937","User login with empty credentials","tests","Sat Jan 24 13:16:07 UTC 2026","passed","Sat Jan 24 13:16:08 UTC 2026","TestAuthorization","test_authorization","",""
"","655","User login with locked out user credentials","tests","Sat Jan 24 13:16:03 UTC 2026","passed","Sat Jan 24 13:16:04 UTC 2026","TestAuthorization","test_authorization","",""
"","1124","User login with correct credentials","tests","Sat Jan 24 13:15:57 UTC 2026","passed","Sat Jan 24 13:15:59 UTC 2026","TestAuthorization","test_authorization","",""
"","376","User login with wrong credentials","tests","Sat Jan 24 13:15:59 UTC 2026","passed","Sat Jan 24 13:16:00 UTC 2026","TestAuthorization","test_authorization","",""
